shape,sigma,noise,seed,method,overall,near,smooth,time
ridge120,1.0,gauss,7,GLR,28.71480646799419,28.302497306836827,28.740735436179676,0.6182260513305664
ridge120,1.0,gauss,7,Prior-v1,5.226612694578292,5.573509146348221,5.2049065003057615,4.532227516174316
ridge120,1.0,gauss,7,Prior-v2,36.917257008414175,36.37408421885302,36.9514668146973,4.559660911560059
ridge120,1.0,gauss,19,Bilateral,6.916608521730849,5.856683626797965,6.994909000611715,0.7279500961303711
ridge120,1.0,gauss,19,MLS,20.003943570119333,16.883093956319208,20.23790232534397,0.5610618591308594
ridge120,1.0,gauss,19,GLR,28.207128688271077,23.69662471657844,28.54953021936273,0.6307573318481445
ridge120,1.0,gauss,19,Prior-v1,5.0936670070377055,4.094056850513816,5.167478113555013,4.516817331314087
ridge120,1.0,gauss,19,Prior-v2,35.677155937427486,30.96318918655677,36.03696586779225,4.642145156860352
ridge120,1.0,gauss,101,Bilateral,6.953313918961568,6.4439879174230335,6.985213283692982,0.7119419574737549
ridge120,1.0,gauss,101,MLS,20.23720191120477,18.847652537794414,20.324781669880476,0.581202507019043
ridge120,1.0,gauss,101,GLR,28.42999857573546,26.27655609434204,28.56663225103775,0.6272997856140137
ridge120,1.0,gauss,101,Prior-v1,5.127085028668299,4.836887874750639,5.145236971761646,4.558383464813232
ridge120,1.0,gauss,101,Prior-v2,36.302418808318585,34.331141451962765,36.42755067777813,4.594486951828003
step,0.5,gauss,7,Bilateral,12.959199205786886,11.233351860579843,13.190910972909254,0.6818351745605469
step,0.5,gauss,7,MLS,33.71382314288105,28.07543825815635,34.49888855197963,0.559689998626709
step,0.5,gauss,7,GLR,44.46876503408315,35.04512229113189,45.84305646829816,0.6121881008148193
step,0.5,gauss,7,Prior-v1,11.905182916835289,10.302269298278887,12.120191838641137,4.739962339401245
step,0.5,gauss,7,Prior-v2,46.043483662172754,35.554870477273184,47.59361498246152,4.643738508224487
step,0.5,gauss,19,Bilateral,13.070320329697783,10.835033776193558,13.422646159317997,0.7113513946533203
step,0.5,gauss,19,MLS,33.78309902051002,28.097061510346634,34.71057216228126,0.5408773422241211
step,0.5,gauss,19,GLR,44.35793633071059,35.321872086813336,45.896491336886704,0.5980823040008545
step,0.5,gauss,19,Prior-v1,12.008014527839329,9.91964710166191,12.33680909316327,4.699471473693848
step,0.5,gauss,19,Prior-v2,45.465466265166086,33.403564018206254,47.58716194877092,4.6727988719940186
step,0.5,gauss,101,Bilateral,12.888338888702188,10.680372403224048,13.224116373153393,0.6876096725463867
step,0.5,gauss,101,MLS,33.331208211088146,27.448151214291805,34.258329051538304,0.5463583469390869
step,0.5,gauss,101,GLR,43.90967594162056,34.90549712045382,45.38702720119521,0.5933938026428223
step,0.5,gauss,101,Prior-v1,11.852659648494013,9.620717539436875,12.192078233993698,4.649363994598389
